id_str,name,screen_name,location,description,protected,followers_count,friends_count,listed_count,created_at,favourites_count,time_zone,verified,statuses_count,lang,contributors_enabled,profile_image_url
1152800376795484160,En Qiiiii,enqiiiii26,she/her 🇲🇾,SVT ‖ TXT ‖ GFRIEND ‖ VIVIZ ‖ TWICE,False,72,235,0,Sun Jul 21 04:40:02 +0000 2019,2122,Not Available,False,351,Not Available,False,http://pbs.twimg.com/profile_images/1483254162662256640/UxZKLtXq_normal.jpg
2202367975,La Chi Mo La La,__adamazmi,Not Available,Pengumpul Fixi. Tak Baca. (Future) Father to Muhammad Noah and Muhammad Hud,True,367,207,3,Tue Nov 19 02:43:06 +0000 2013,14466,Not Available,False,11137,Not Available,False,http://pbs.twimg.com/profile_images/861538728736575490/nKXWJT0y_normal.jpg
1304100101942439936,horangie,yuaninn,Malaysia,caratmoos | 21 | lets be friend !,False,92,135,0,Thu Sep 10 16:53:17 +0000 2020,2587,Not Available,False,2038,Not Available,False,http://pbs.twimg.com/profile_images/1509417650468048896/INRFY_5p_normal.jpg
359326383,Jem ✨💎 海城 ❤️,Jemhere_,Not Available,"The Word, prayer, praise. 🌟  a fan of talented groups |",False,209,1669,2,Sun Aug 21 11:38:24 +0000 2011,5332,Not Available,False,35041,Not Available,False,http://pbs.twimg.com/profile_images/1483687585289744386/D4RTOjZM_normal.jpg
623585773,𝒜𝓇𝒶*＊✿,amiinik_,Not Available,♡ jae jung jang seong seung tae ♡,False,381,339,7,Sun Jul 01 09:24:03 +0000 2012,49301,Not Available,False,57599,Not Available,False,http://pbs.twimg.com/profile_images/1409939949118386176/Ua02MNA2_normal.jpg
1322797433294745600,Arunachalam,Arunach41487303,Not Available,Not Available,False,115,1822,0,Sun Nov 01 07:07:52 +0000 2020,26,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1322808579154354177/H5i-4F0a_normal.jpg
1389554118369243136,srh;,hoshihae17,Not Available,she/her • no words are enough for you • @pledis_17,False,15,211,0,Tue May 04 12:15:13 +0000 2021,11894,Not Available,False,1971,Not Available,False,http://pbs.twimg.com/profile_images/1465951206795198468/V7soXbb-_normal.jpg
885153490883854336,m.amer azhar,mat_mamer,"Bandar Petaling Jaya, Selangor",nothing interesting about me .,True,41,284,0,Wed Jul 12 15:06:52 +0000 2017,69,Not Available,False,74,Not Available,False,http://pbs.twimg.com/profile_images/1241799656297730049/KH6UEDaF_normal.jpg
1510382377498923009,zasali salleh,ZasaliSalleh,Not Available,Not Available,False,1,10,0,Sat Apr 02 22:24:08 +0000 2022,0,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1510382602091327488/0SF5kS5S_normal.jpg
1246304296410341376,divv,divyan24,Not Available,21,False,196,444,0,Sat Apr 04 05:11:28 +0000 2020,18573,Not Available,False,7696,Not Available,False,http://pbs.twimg.com/profile_images/1507133962287984640/ocRbBQrr_normal.jpg
1510300163180433410,Noziey,Noziey77,Not Available,Not Available,False,2,36,0,Sat Apr 02 16:56:56 +0000 2022,0,Not Available,False,3,Not Available,False,http://pbs.twimg.com/profile_images/1510865359804387329/WlrWL0is_normal.jpg
1437364277040484357,Tommy.Shelby,IsyraqXTimmy97,Not Available,Yang tahu je tahu,True,2,697,0,Mon Sep 13 10:35:43 +0000 2021,383,Not Available,False,3,Not Available,False,http://pbs.twimg.com/profile_images/1437364524156260354/GRAHqa12_normal.jpg
781073698144997381,ఇ ◝‿◜ ఇ,chwenaa,1 + 5 + 10 + 12 + svt,carat + wizone + jigumi + dive,True,227,180,1,Wed Sep 28 10:10:56 +0000 2016,48528,Not Available,False,29073,Not Available,False,http://pbs.twimg.com/profile_images/1510979360701878276/YikgDzW9_normal.jpg
1248447173441679361,シャ☾,soon1woo_,Not Available,Not Available,False,469,392,0,Fri Apr 10 03:08:00 +0000 2020,4850,Not Available,False,4304,Not Available,False,http://pbs.twimg.com/profile_images/1510135149048242178/CFsdakzN_normal.jpg
834077917105696768,97,nsyzwwn,Not Available,meow,True,143,118,0,Tue Feb 21 16:30:46 +0000 2017,4464,Not Available,False,2057,Not Available,False,http://pbs.twimg.com/profile_images/1404504835316060162/YzU9kgjT_normal.jpg
1509976749697765377,Harraz Hafiy,HarrazHafiy02,Not Available,Dont know la,True,0,100,0,Fri Apr 01 19:31:42 +0000 2022,1,Not Available,False,1,Not Available,False,http://pbs.twimg.com/profile_images/1509976937669672961/eb0aiDII_normal.jpg
1509849239123230726,Michel,Michel21297071,Not Available,Hi,False,0,37,0,Fri Apr 01 11:05:20 +0000 2022,0,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1509849501875331080/-jV42m62_normal.jpg
1406456492648067073,Dineesh,Dineesh28722455,Not Available,🖤|,False,3,64,0,Sun Jun 20 03:39:14 +0000 2021,1033,Not Available,False,799,Not Available,False,http://pbs.twimg.com/profile_images/1507922543533240322/bS0vFp_D_normal.jpg
1060908470923231232,•᷄ɞ•᷅,rahimahasnawiii,Not Available,13+3+1=17,True,27,294,0,Fri Nov 09 14:54:24 +0000 2018,102878,Not Available,False,29071,Not Available,False,http://pbs.twimg.com/profile_images/1508411673350008838/VoncdbeO_normal.jpg
1509729810209460228,mirool K,mirool_k,Not Available,Not Available,True,0,70,0,Fri Apr 01 03:10:23 +0000 2022,0,Not Available,False,0,Not Available,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1366744489331544065,Zaid Bin Ibrahim,zaidbinibrahim,"Cheras, Kuala Lumpur","THE ORIGINAL ME
Single",True,5,33,0,Tue Mar 02 13:37:40 +0000 2021,0,Not Available,False,9,Not Available,False,http://pbs.twimg.com/profile_images/1490017556316684288/BQPqgFjt_normal.jpg
1356207184225263619,Optimuse,Optimuse5,Not Available,non,True,1,530,0,Mon Feb 01 11:46:31 +0000 2021,88,Not Available,False,39,Not Available,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1486710056561217536,Prabu,Prabu0998,Not Available,@actorvijay fan,False,1092,3447,0,Thu Jan 27 14:38:07 +0000 2022,13915,Not Available,False,15548,Not Available,False,http://pbs.twimg.com/profile_images/1506235164011028495/oDeqQEAc_normal.jpg
1427832663105150979,Lavaniyan,Lavaniyan1,Not Available,Athlete,False,7,119,0,Wed Aug 18 03:22:53 +0000 2021,1452,Not Available,False,117,Not Available,False,http://pbs.twimg.com/profile_images/1468193050245562380/vfaYKTff_normal.jpg
